Gene,log2FC,p-value
MAP2K6,3.8995591,2.57E-41
STK17B,-3.415284887,2.75E-41
IQGAP1,-2.817558119,2.76E-41
PLOD3,-2.121172825,2.79E-41
LINC02106,11.5174971,3.02E-41
AFAP1,2.272772869,3.25E-41
CDKN2D,3.809118009,4.10E-41
KIF26B,4.691153671,4.72E-41
EGFL7,-4.814144772,4.73E-41
BUB1,-4.572072993,4.73E-41
MYRIP,4.155857706,5.14E-41
CHN1,2.653282135,5.19E-41
LGALS3,-5.564187529,5.26E-41
LOC101928499,7.998770756,5.46E-41
TRIM9,2.949646332,5.58E-41
NDRG2,4.774958147,5.63E-41
CYBRD1,-7.370922158,6.20E-41
PRPS2,-3.959445961,7.27E-41
CLGN,2.526555711,7.30E-41
CTSV,-4.886651936,7.55E-41
NUP98,-1.471111366,8.98E-41
NSUN7,-5.144572172,9.69E-41
SERINC3,1.512092503,9.69E-41
DOCK6,-1.97270352,1.08E-40
OSBP2,2.659654166,1.08E-40
L1CAM,5.951801609,1.10E-40
TPCN1,-2.806281744,1.17E-40
SLC37A1,4.641276599,1.18E-40
SOCS2,3.15020215,1.21E-40
VRTN,-8.386806761,1.30E-40
KIAA0513,2.825021917,1.31E-40
TMEM169,2.416272054,1.37E-40
RBMS3,6.886238321,1.39E-40
ARHGEF17,-3.270518196,1.47E-40
SPAST,1.809158576,1.51E-40
TROAP,-5.33605099,1.57E-40
KIF1C,-4.259496885,1.64E-40
CRYAB,-6.11227359,1.91E-40
CKAP2L,-3.821071146,1.93E-40
TPPP,4.190285729,1.95E-40
LRRTM4,3.415368999,2.08E-40
ZNF429,1.504811671,2.17E-40
PCSK9,-7.690112162,2.30E-40
PAMR1,-6.393605947,2.33E-40
NOD1,-3.396809898,2.42E-40
MPP3,4.477656941,2.42E-40
KLHDC8A,3.918294525,2.45E-40
BSN,4.599966006,2.60E-40
STOM,-4.966232007,2.68E-40
YES1,-2.717534507,2.79E-40
TRIM56,-4.019383875,2.81E-40
MGAT4C,9.458970125,3.10E-40
RUFY3,2.697483723,3.16E-40
LGALS1,-6.630467432,3.32E-40
REST,-4.629544221,3.71E-40
COL9A1,-5.004264616,3.74E-40
FUCA2,-1.594823573,3.84E-40
LOC105379080,8.613249924,4.26E-40
SUCLG2,-4.231380331,4.28E-40
PROSER2,-7.667174977,4.35E-40
GALNT18,4.12223665,6.57E-40
B4GALNT3,-4.265572737,6.64E-40
HERC3,3.154145243,7.13E-40
SLC41A2,4.658568977,7.28E-40
RBFOX3,3.099344693,7.64E-40
CXCL14,-6.247793951,8.53E-40
MX2,-4.993470093,1.07E-39
SEPTIN6,3.161001121,1.14E-39
SYPL1,-3.70424845,1.34E-39
PPP1R13L,-5.223220648,1.39E-39
KCND2,5.277917586,1.39E-39
TRIM59,-2.867026842,1.40E-39
SHROOM4,-4.224902497,1.44E-39
TMEM132E-DT,9.14812072,1.62E-39
STAR,5.094317119,1.83E-39
CYB5R2,-4.237603048,1.85E-39
CDK5R1,3.307740547,1.90E-39
STIL,-3.530554643,2.02E-39
ZFP36,-4.628949119,2.06E-39
CDCA5,-3.746348127,2.09E-39
ACTR10,1.596280377,2.11E-39
PWWP2A,1.436496223,2.23E-39
TGFBR2,-5.423061526,2.41E-39
NR5A2,6.188430887,2.41E-39
PRKG2,5.276925334,2.57E-39
ELF4,-4.782540209,2.79E-39
SPAG5,-3.189109774,2.84E-39
SYNPO2,5.575592906,2.85E-39
STK32A,4.572277623,2.86E-39
COMT,-4.508441554,3.11E-39
KDR,-6.983203333,3.13E-39
IL4R,-5.837245695,3.17E-39
ANKFY1,2.239052666,3.21E-39
PLIN2,-3.168562905,3.55E-39
PAFAH1B3,2.078779098,3.99E-39
RFPL1S,4.40183828,4.18E-39
SOX4,2.610388576,4.30E-39
ADAM22,2.816858675,4.52E-39
PIMREG,-5.547787257,4.62E-39
ATP1A2,-5.622216674,4.66E-39
FRMPD1,4.529884207,4.85E-39
MAPRE2,3.493463896,4.90E-39
ADGRA1,6.928763539,5.12E-39
C19orf12,1.5889224,5.53E-39
EEF1A2,4.804113157,5.62E-39
ZDHHC22,5.043725926,6.00E-39
SLC45A1,4.02053856,6.47E-39
LRP11,2.860123156,6.69E-39
MCM10,-5.715628359,7.13E-39
HSPB1,-5.308128425,7.57E-39
CRYBG2,-3.381791985,7.77E-39
RRM2,-6.439014016,8.31E-39
GPR3,-2.996275052,8.34E-39
ST8SIA3,5.754595098,8.44E-39
SCAMP2,-1.583631019,8.70E-39
BAIAP2L1,-5.039742549,8.76E-39
LRRC49,1.667103996,8.76E-39
CFLAR,3.233072459,9.00E-39
RTN3,1.534441211,9.17E-39
GCNT4,-3.879602204,9.20E-39
NYAP2,9.793712102,1.03E-38
KREMEN2,-3.553028283,1.10E-38
MMRN2,4.799488934,1.10E-38
ACTA2,-6.692155939,1.13E-38
ENOX1,4.465340113,1.17E-38
SIPA1L1,-2.767286268,1.28E-38
IMPDH2,-2.503387317,1.52E-38
NCAPD2,-2.805557475,1.53E-38
ADAMTS15,-6.14045774,1.88E-38
DPP10,2.988162814,2.04E-38
OS9,1.648294534,2.45E-38
ENOX2,2.212396603,2.69E-38
CACNA1B,3.931236552,2.83E-38
IL13RA1,-4.610668773,2.84E-38
GNG2,4.26197154,2.89E-38
PIRT,8.8878101,3.12E-38
KCNK3,5.005492896,3.25E-38
ABCG4,3.687398535,3.35E-38
BST1,-5.401710768,3.43E-38
GPR62,4.898688237,3.61E-38
CYP4X1,4.401221911,3.87E-38
BEX2,3.086059534,3.92E-38
GABRG2,7.200955144,4.34E-38
AURKA,-3.265107574,4.37E-38
FAM110C,-7.63361675,4.78E-38
SLC36A1,2.042171264,4.78E-38
ESPL1,-5.810928914,5.30E-38
PROCR,-6.940894794,5.34E-38
GRIK1,7.433744922,5.44E-38
FHOD1,-3.398433114,5.46E-38
LINC00648,5.142658969,5.98E-38
EGR1,-5.933103243,6.17E-38
MEGF9,2.377165603,6.31E-38
SLC4A8,3.605210053,6.46E-38
XKR4,5.003085824,6.53E-38
PRRT4,4.490698306,6.74E-38
NCAN,4.332313135,7.17E-38
PHACTR1,3.349798775,7.49E-38
STMN2,4.835553134,7.97E-38
TRAPPC9,1.78310775,8.03E-38
CCDC102A,-6.450837462,8.06E-38
SLC8B1,-2.618212107,8.40E-38
DPPA4,-3.130117225,9.29E-38
PRKAR2B,2.654830117,9.43E-38
ZSWIM5,3.267633137,9.51E-38
POU6F2,5.628576095,9.59E-38
GAP43,4.87247804,1.08E-37
TMEM151B,5.79985961,1.12E-37
DNM3,4.987056743,1.23E-37
DOCK3,3.768502262,1.36E-37
ANTXR1,-2.515614388,1.56E-37
KIF5C,3.523205768,1.62E-37
CTSC,-3.507465853,1.76E-37
LOC105374898,4.590423106,1.79E-37
RHOD,-7.478878919,1.81E-37
RET,5.104677525,1.86E-37
INPP4B,-3.341645631,1.87E-37
HS6ST2,-3.639785858,1.98E-37
RILPL2,-5.17340856,1.99E-37
CHRM4,5.191361866,2.16E-37
CABP7,4.836526615,2.28E-37
RRBP1,-1.723378663,2.30E-37
CENPA,-5.927817809,2.35E-37
HSDL1,1.930313114,2.38E-37
SNN,2.320297886,2.40E-37
PHF10,-1.367920852,2.44E-37
WDR47,3.64479958,2.56E-37
ZHX1,3.440517184,2.63E-37
LINGO2,4.849568241,3.36E-37
HPCA,3.615245404,3.54E-37
DCTN1,2.495995784,3.84E-37
CDK5,2.593500979,3.93E-37
SBK1,2.780117024,4.06E-37
CENPF,-4.053723852,4.08E-37
UXS1,-2.102264116,4.10E-37
PTER,-3.961953376,4.22E-37
WIPF3,-4.702722756,4.39E-37
PPEF1,3.460900248,4.64E-37
ACVR2A,2.937889708,4.79E-37
CACNG2,10.38978314,4.86E-37
S100A16,-5.620552907,4.96E-37
ALDH1B1,-2.299945417,5.53E-37
PALD1,-4.925593472,5.54E-37
FBXL16,4.432266189,5.94E-37
SERINC1,2.942380737,6.25E-37
EBF4,2.832351876,6.44E-37
CDH13,-4.529531957,6.56E-37
LMBRD2,2.075686834,6.90E-37
TMEM196,6.078901863,7.67E-37
EFCAB2,2.405844303,7.70E-37
PALS1,-2.701790861,7.73E-37
CDK2,-3.15945559,8.78E-37
PROX1,3.601727235,1.16E-36
CD24,1.81442008,1.20E-36
ANKRD1,-7.895539543,1.23E-36
DNAAF5,-2.589958259,1.33E-36
DMKN,-6.889833857,1.36E-36
ZNF491,2.401993433,1.43E-36
UNC13B,2.021850673,1.54E-36
SPIN1,1.016459909,1.89E-36
CAMK2N1,3.471683292,2.01E-36
SEZ6L2,2.681031978,2.07E-36
ROR2,-2.887910078,2.25E-36
PIGX,1.957668404,2.39E-36
ARSD,2.135431385,2.56E-36
MTSS1,4.04228915,2.77E-36
PLS1,-2.813889723,2.94E-36
SMIM10L2B,2.947272197,2.95E-36
SOX8,-4.273162119,3.02E-36
DPYSL2,2.612036972,3.26E-36
CTNNA2,3.029799368,3.28E-36
KSR2,3.498945498,3.42E-36
INSC,4.183749389,3.66E-36
SPEGNB,7.825804409,3.69E-36
PRTG,-4.277257592,3.73E-36
EVC2,-4.105293713,3.80E-36
JAZF1,4.417621554,3.86E-36
ZC4H2,1.269497185,3.97E-36
BUB1B,-4.403771259,4.01E-36
GAB3,4.594762407,4.10E-36
SPIRE2,2.584203144,4.13E-36
TPBGL,4.829253469,4.19E-36
CRISPLD1,-2.562893397,4.39E-36
WWC3,-1.95550356,4.69E-36
VWA5B2,4.673857866,4.84E-36
SPART,-3.003437893,5.41E-36
EML5,5.780581369,5.57E-36
LAMC1,-2.414066589,5.64E-36
DOP1B,2.480567509,5.81E-36
JPH2,-6.882577509,5.98E-36
ZCCHC12,5.682205546,6.10E-36
PRR11,-2.767874162,6.70E-36
ZNF469,-3.676106698,6.75E-36
MAN2B2,1.940939575,6.97E-36
MOV10,-4.432964573,7.16E-36
TMBIM1,-6.842879645,7.32E-36
DONSON,-1.788986055,7.33E-36
RAB20,-4.504949814,7.68E-36
SLC18A2,4.201407606,8.01E-36
ADCY9,2.085511648,8.65E-36
PKM,-1.702726975,8.88E-36
STXBP5L,4.605225933,9.74E-36
INSRR,9.817927123,9.86E-36
PAQR8,-3.375849486,9.89E-36
CCDC160,-2.667050927,1.06E-35
CPEB2,3.470630186,1.10E-35
SH3BP1,-4.409922265,1.19E-35
TFRC,-2.126310363,1.20E-35
GPR45,8.039311408,1.30E-35
APBA1,3.840489782,1.32E-35
P4HA1,-4.950450328,1.33E-35
ACADSB,2.273817932,1.35E-35
SLCO4C1,3.443593584,1.36E-35
C1QL1,6.358032049,1.38E-35
KCNH4,5.969568049,1.44E-35
HLA-B,-6.484426416,1.58E-35
SLC1A1,-2.784810039,1.66E-35
PHKA2,-1.842197256,1.68E-35
CNST,2.127050442,1.72E-35
RPS6KA6,2.468140542,1.73E-35
MAPK8IP2,4.834313034,1.76E-35
LMX1A,-8.721580318,2.00E-35
GNG8,5.374350686,2.38E-35
KIFAP3,4.220718284,2.52E-35
SCN3A,9.660843992,2.63E-35
IRX5,5.565753656,2.94E-35
ARSF,9.049727463,3.37E-35
PBK,-5.248788419,3.45E-35
SLC16A11,4.982362318,3.66E-35
ANKRD13A,2.127170217,3.79E-35
GFOD2,1.766758789,3.79E-35
SDC1,-4.260528102,3.84E-35
VPS50,1.74061235,3.88E-35
CHST14,-3.520742858,3.97E-35
RIIAD1,6.385704104,3.97E-35
ABCC8,4.427880443,4.05E-35
RHOG,-2.433569338,4.12E-35
PARD6G,-2.248684092,4.14E-35
NEMP1,-2.281927704,4.50E-35
SERINC5,-2.13998326,4.64E-35
CASD1,1.609011982,6.01E-35
CLCF1,-6.863128785,6.34E-35
SYNJ1,3.032962624,6.34E-35
EMP2,-4.616047383,6.49E-35
KLHL32,4.961469815,6.59E-35
RAB27B,4.605444981,6.67E-35
KCTD16,5.596131851,6.75E-35
PODXL2,2.312905241,6.97E-35
RAB6B,4.052507993,7.47E-35
OLFML3,-3.742612502,7.74E-35
PTPRN2,5.057562689,8.89E-35
FRMD3,4.166424827,9.86E-35
MLLT11,3.141709893,1.04E-34
GRIN1,6.11584539,1.07E-34
PKP2,-3.139004023,1.19E-34
NOC3L,-2.793257699,1.19E-34
STAMBPL1,2.979517782,1.47E-34
PRR5L,-3.341142381,1.47E-34
PRKD2,-1.773385154,1.50E-34
ESYT1,-1.279951733,1.57E-34
SUSD4,3.671609412,1.67E-34
HES1,-6.702589999,1.68E-34
PCDH7,-2.811860958,1.80E-34
PPT1,-1.553653316,1.97E-34
CACNB1,3.641122162,1.99E-34
INSM1,5.187041285,2.22E-34
TMEM132B,3.204705491,2.27E-34
OLIG3,10.36174194,2.27E-34
ROBO2,5.781070538,2.28E-34
SLC35F2,-3.586324685,2.29E-34
PLEKHA6,2.711244163,2.29E-34
DAB1,3.679823591,2.37E-34
KCNC2,10.06308707,2.47E-34
MELK,-3.384843901,2.53E-34
CARD10,-4.318873995,2.67E-34
LRRC28,1.61451995,2.69E-34
LRRC17,-4.82082949,2.79E-34
PCBP3,3.112436678,2.98E-34
PBX1,2.194793627,3.24E-34
VPS26B,2.118452114,3.94E-34
ABCB9,2.244688456,4.68E-34
TMEM243,-3.410876339,4.80E-34
PCOLCE,-3.753234996,4.90E-34
NEUROD4,9.997970861,4.95E-34
SYT7,4.278520534,5.02E-34
DUSP15,3.746161748,5.06E-34
C6orf141,-8.933123576,5.14E-34
CDHR2,5.917611796,5.14E-34
SPATA46,6.407099707,5.25E-34
NGF,-5.110603621,5.69E-34
RALGPS1,2.133203548,5.82E-34
APLN,-7.184930939,5.94E-34
MIR217HG,10.14839917,6.04E-34
OTUD7A,5.630305131,6.29E-34
KRT222,5.873735569,6.31E-34
CCNYL1,-1.527774366,6.41E-34
RAB9B,3.160713351,6.56E-34
LOC107987251,4.425129611,6.77E-34
VSTM4,4.471497048,6.80E-34
EPHA10,6.647035563,7.13E-34
MME,-7.270447188,7.17E-34
FAM126B,2.250554755,7.17E-34
CYTH1,2.894253917,7.98E-34
PPP2R2B,4.607507173,8.01E-34
TPPP3,4.476420691,8.33E-34
MRPS14,0.935945925,8.43E-34
STAM2,1.192817352,8.47E-34
IGSF9B,2.599162983,8.56E-34
CPZ,-8.024644883,9.36E-34
RNF165,2.719454599,9.57E-34
IQCA1,-2.622897271,1.01E-33
KIAA0319,5.024002151,1.04E-33
CDHR3,3.044605768,1.06E-33
CDK2AP1,-1.973583972,1.17E-33
MINDY1,1.896372259,1.23E-33
ZC2HC1A,2.595066033,1.24E-33
ADGRB3,4.979839734,1.34E-33
LRCH2,2.05019053,1.45E-33
ABCG1,6.162772082,1.47E-33
PTPN18,1.523644359,1.62E-33
REEP4,-2.575615027,1.65E-33
SERPINE1,-8.917560136,1.75E-33
SLC41A1,-1.794708589,1.91E-33
PPM1E,2.451410176,1.93E-33
EMP3,-4.816552384,2.13E-33
TSHZ1,4.084407012,2.26E-33
CLASP2,2.782642569,2.26E-33
LMOD1,-3.978265426,2.35E-33
PCDHGC4,3.160342709,2.43E-33
PHF21B,2.604871741,2.50E-33
KIF3C,3.054259403,2.73E-33
PPARGC1B,3.189135499,2.73E-33
PLXNB2,-2.017387911,2.77E-33
CDYL,-1.460060751,2.79E-33
TRIM66,3.137238916,2.86E-33
HMGCLL1,3.927119763,2.97E-33
PXDC1,-6.021262083,3.03E-33
CMBL,-4.952378683,3.04E-33
STARD4,-1.604513637,3.05E-33
NKAIN1,2.966068214,3.45E-33
DNM1,2.327039066,3.47E-33
FAM189A2,-3.237871939,3.56E-33
LOC388813,8.661626478,3.59E-33
B4GALT1,-2.771681326,3.83E-33
GRIK2,6.830191479,4.24E-33
ANO7,-2.757379023,4.30E-33
TRABD2B,-4.849721083,4.40E-33
BLACAT1,-3.250161612,4.59E-33
ERVMER34-1,-5.493910054,4.65E-33
LINC02814,7.912490071,4.93E-33
CHRNB3,10.02599512,5.05E-33
GGCX,-0.952902591,5.14E-33
SPACA9,2.11666722,5.42E-33
CPLX1,5.955729564,5.59E-33
GLIS3,-5.69439407,5.93E-33
CRACD,1.87897489,5.99E-33
RUNDC3B,6.029320229,6.11E-33
HLA-B_1,-6.322364776,6.16E-33
EIF4E3,2.4032624,6.38E-33
FAM181B,6.805618053,6.38E-33
OPRD1,-4.416939975,6.57E-33
PDIA5,-2.243230187,6.62E-33
MBLAC2,2.536514823,6.84E-33
DUSP6,-4.036887711,6.87E-33
KRT8,-5.074167677,7.40E-33
ALPK2,-6.800035391,7.43E-33
PCLAF,-5.364220717,7.61E-33
FLVCR2,-7.57410715,7.80E-33
GMIP,1.614337123,8.21E-33
GABRB3,4.415352473,8.24E-33
LOC105372971,6.904985812,8.44E-33
KIF11,-3.341045528,8.96E-33
RHOA,-1.201263883,1.02E-32
TPM1-AS,-5.283208862,1.09E-32
GPD1L,3.030124672,1.14E-32
CMTM7,-3.31425888,1.15E-32
MAP3K12,2.393723216,1.19E-32
NEK2,-4.872484085,1.22E-32
CCNF,-1.89943641,1.34E-32
BICRAL,1.734257317,1.34E-32
PDIA4,-2.10351856,1.44E-32
INSM2,8.054190263,1.44E-32
TRIM2,2.570415753,1.45E-32
FGFR2,-4.640728085,1.47E-32
ADAM15,-3.717677485,1.51E-32
CYSLTR2,9.469188671,1.60E-32
KLHL35,5.181281519,1.65E-32
TNNT1,-5.331587724,1.67E-32
PDLIM2,-4.329812447,1.75E-32
CBX8,2.178170544,1.79E-32
HADH,-2.122168774,1.84E-32
DOCK8,-8.168021112,1.90E-32
PPP1R21,2.10413074,1.93E-32
PTPN3,3.601954448,2.09E-32
PCDH18,-5.285100484,2.12E-32
GLRA3,8.743222888,2.19E-32
TM2D3,1.302084085,2.20E-32
BTG3,-4.997233125,2.30E-32
CDT1,-4.019473358,2.60E-32
UCP2,-3.176182571,2.63E-32
EDNRA,-6.103913902,2.72E-32
RASGEF1C,3.689003277,2.77E-32
CELF6,4.368922345,2.85E-32
KIDINS220,2.874144252,3.02E-32
EYA2,3.808233217,3.10E-32
NKAIN4,3.909798533,3.24E-32
MARVELD1,-2.141672134,3.26E-32
C4orf33,2.147816596,3.43E-32
RPS6KL1,2.992423235,3.82E-32
SNX30,1.763999488,3.90E-32
TMEM123,-3.332455046,4.01E-32
ADCY3,-1.87071143,4.02E-32
NAV3,5.62664698,4.06E-32
GPBAR1,5.030017498,4.20E-32
PAX6,-5.615047153,4.56E-32
SPC24,-5.9472311,4.96E-32
ETV3L,7.543518404,5.54E-32
DBF4,-1.972719659,5.55E-32
MAPRE3,2.700613459,6.21E-32
PKMYT1,-4.156922097,6.29E-32
DNAJC6,2.857331109,6.44E-32
CTDSPL,-1.750012325,7.03E-32
SEPTIN2,-1.137060928,7.11E-32
SV2A,2.003285438,7.36E-32
TRIM5,-3.492984419,7.45E-32
LOC107984281,3.996009588,7.58E-32
ENTPD6,2.08344732,7.89E-32
SEPTIN3,3.861431558,8.10E-32
USHBP1,-6.617388951,8.15E-32
NRSN1,4.40616889,8.19E-32
MOB1A,-2.247950244,8.20E-32
MYO10,-2.096587429,8.42E-32
GBA2,1.146404269,8.68E-32
LOC107984851,6.211332329,9.27E-32
DRAM1,-6.519106449,9.58E-32
SLC18B1,3.25661306,1.01E-31
TAB3,1.962668481,1.02E-31
DTX1,3.543151148,1.05E-31
TNNC1,-5.667969868,1.06E-31
MSC,5.584758882,1.19E-31
CTXN3,8.65520796,1.20E-31
FUOM,-4.597530281,1.28E-31
HNMT,-5.010412922,1.40E-31
GPR27,2.294639465,1.57E-31
KIAA0895,1.87190402,1.58E-31
KCNB1,4.719247178,1.66E-31
IRS1,-2.797536011,1.84E-31
RAPGEF3,-3.849819247,1.85E-31
LINC02527,2.843152878,1.91E-31
C12orf4,2.231590438,2.01E-31
ANLN,-3.479601511,2.07E-31
PCGF5,-3.323702634,2.13E-31
PLPPR2,3.635020348,2.21E-31
DSC2,-2.241123373,2.24E-31
MINAR2,7.198656369,2.24E-31
SNHG18,-6.886959159,2.37E-31
DACH1,2.102064092,2.37E-31
RAB13,-2.476275417,2.38E-31
VGLL3,-6.46866815,2.40E-31
SIK1,-3.215908789,2.64E-31
PRKG1,3.891833307,2.66E-31
FNDC3B,-2.692196666,2.83E-31
UNC5A,4.469331121,2.86E-31
TCF7L1,-3.610447384,2.93E-31
HEXB,-2.62487553,2.94E-31
VASH1,2.177255955,3.10E-31
FES,-4.385471903,3.13E-31
RASA4CP,3.643975509,3.24E-31
GDF6,-3.842876753,3.26E-31
EVI5L,1.689424768,3.27E-31
FGF13,3.418217681,3.38E-31
PRKAG2-AS1,5.321383882,3.38E-31
PSD2,4.825223171,3.49E-31
SLIT1,4.244104661,3.59E-31
ELK3,-4.986157345,3.81E-31
SH3BGRL,1.77226224,3.90E-31
SLC12A6,1.553319206,4.03E-31
IL6R,-4.713194899,4.23E-31
SMIM18,8.003750889,4.42E-31
CCNE1,-3.486203173,4.72E-31
SLFN13,-3.20555275,4.86E-31
SLC38A4,-6.851756963,4.86E-31
LINC00698,6.039557836,5.12E-31
ERN1,-1.390467081,5.18E-31
SLC10A4,4.337357166,5.32E-31
IRF3,-1.951321436,5.51E-31
COMMD7,1.353092678,5.90E-31
MOB3B,-2.550382554,5.94E-31
RNPEP,-0.919280024,5.95E-31
HCFC2,2.875583241,6.06E-31
TBL1X,-1.848114729,6.22E-31
NOVA1-DT,6.35592467,6.64E-31
B3GALT2,9.691948217,7.06E-31
ITFG1,1.73805221,7.68E-31
PARD3B,-2.991128017,7.79E-31
SDC2,-2.076515739,7.99E-31
SGCZ,4.370923304,8.54E-31
EMP1,-5.617968913,8.62E-31
TNFRSF1A,-1.505556626,8.81E-31
RAD51,-4.553508045,9.04E-31
UBR3,1.855815517,9.05E-31
MYRF,-3.952592055,9.24E-31
FBXO41,2.439966529,9.59E-31
STK3,-3.280234281,1.10E-30
PHACTR2,-2.338318917,1.17E-30
SKOR2,9.336392052,1.21E-30
LIG3,-1.383925474,1.30E-30
PTBP1,-2.806167134,1.31E-30
HTR5A,7.186450257,1.41E-30
GLRA1,8.625094751,1.47E-30
ABCA5,3.760481254,1.47E-30
ANXA11,-4.29256143,1.51E-30
SLC26A6,-2.544703662,1.51E-30
CLNS1A,-1.445568139,1.54E-30
NNT,2.299200378,1.66E-30
CAMK1G,2.537112943,1.68E-30
NPPB,-6.444153534,1.79E-30
PPP2R5B,2.873137616,1.84E-30
CDC25C,-4.757081133,1.86E-30
ESCO2,-4.805379029,1.88E-30
BMP7,-2.873156729,1.89E-30
RRAS,-4.337151841,1.93E-30
TUBB6,-4.208818062,1.94E-30
IFITM1,-6.52334727,1.96E-30
TUBB2B,2.481059094,2.03E-30
ABCC1,-3.476761374,2.21E-30
NOVA2,3.369357223,2.21E-30
CGNL1,-2.922305336,2.22E-30
NAB2,-3.142417903,2.23E-30
VGLL4,-2.409379287,2.39E-30
B3GNT2,-3.289756697,2.44E-30
WDR7,2.152220451,2.48E-30
HMGA1,-2.961430254,2.58E-30
PAQR5,-6.653535511,2.59E-30
FOSL2,-4.262141977,2.64E-30
GAB2,1.964568377,2.68E-30
CD47,2.122720877,2.70E-30
MARCHF9,1.809991935,2.75E-30
CAD,-1.691140347,2.77E-30
HDAC1,-3.082231009,2.86E-30
FBLL1,5.416471728,2.99E-30
NEDD1,-2.625307829,3.10E-30
ZADH2,1.849771394,3.12E-30
NRP1,3.690293028,3.13E-30
SLC6A15,2.155237334,3.18E-30
SATB1,2.644857179,3.31E-30
TSPOAP1,2.729970659,3.39E-30
FN1,-2.918307849,3.65E-30
RNASE1,-7.99089551,3.67E-30
HSBP1,1.312475557,3.76E-30
OPLAH,-3.989628706,3.80E-30
STT3A,-1.116264371,3.94E-30
GPA33,-4.922940052,4.03E-30
LOC112268276,8.187125279,4.03E-30
MIR124-2HG,4.048682837,4.05E-30
RRAGB,1.955462089,4.09E-30
SNHG3,-3.134748198,4.27E-30
GPR143,-3.028986715,4.30E-30
DSC3,-7.180115967,4.75E-30
PPM1L,2.431789392,4.81E-30
SOX21,-6.650201556,4.92E-30
NRXN3,3.951204617,5.50E-30
NELL2,2.996595695,5.51E-30
CCND3,-1.488746931,5.57E-30
MTURN,2.52246175,5.65E-30
RNF24,1.611560615,5.66E-30
TUBA3FP,2.80451934,5.87E-30
HSPD1,-1.392640758,6.35E-30
MACO1,2.075661025,6.93E-30
TENT5B,-3.771923529,7.03E-30
APC,3.10376604,7.25E-30
USP33,1.262958572,7.31E-30
GBX2,-6.8529213,7.35E-30
TAC1,6.109336062,7.46E-30
SCML4,7.581702185,8.68E-30
SMPDL3A,3.078925086,9.59E-30
CILK1,1.924235214,9.89E-30
TGFBR3,-4.284021205,1.01E-29
RAPGEF5,2.446253727,1.03E-29
NEDD4L,2.11106112,1.08E-29
TAF1B,-1.584651745,1.21E-29
PGM2L1,3.431856392,1.29E-29
LIF,-8.166203647,1.30E-29
LINC01993,9.82165127,1.31E-29
ATL1,4.266320956,1.38E-29
RPS6KA4,-2.064757549,1.52E-29
SLC39A8,-4.357768835,1.53E-29
LHX2,-5.611127762,1.54E-29
NBEA,3.117017024,1.54E-29
LINC00504,4.961915674,1.61E-29
SEMA5A,-3.234140264,1.65E-29
SGSM2,2.343092705,1.81E-29
EMILIN2,-6.844304958,1.96E-29
RAB33A,2.784115988,2.00E-29
SLC22A15,4.319523088,2.06E-29
NANP,-2.239679921,2.13E-29
EPB41,1.422524665,2.21E-29
NTN3,3.606058501,2.21E-29
NOG,-3.98233792,2.23E-29
PELI2,1.736181321,2.26E-29
RAPGEF4,4.153804635,2.27E-29
KLF12,2.964765489,2.38E-29
POU2F2,3.636562043,2.51E-29
TSPO,-5.495292964,2.58E-29
INPPL1,-3.28657537,2.66E-29
DYNC1I1,3.37754498,2.72E-29
RTN2,3.578587198,2.82E-29
ZSCAN2,2.018915204,2.84E-29
RNF208,3.324460971,2.87E-29
NDC80,-3.55986282,2.99E-29
MYO1E,-3.156184023,3.00E-29
FAM149A,1.691199919,3.01E-29
MDFIC,-5.778147543,3.14E-29
THSD7A,5.257421438,3.25E-29
JPH1,-2.727143746,3.26E-29
C15orf61,2.193418151,3.38E-29
RIMS1,4.403615637,3.38E-29
ATP6AP2,1.190552518,3.52E-29
SULT4A1,2.499293046,3.52E-29
ATP6V0E2,3.41237957,3.52E-29
NFKB2,-3.423845477,3.56E-29
TUBD1,-1.587315111,3.56E-29
LOC107984273,4.769988131,3.57E-29
G3BP1,-1.539774945,3.75E-29
CRLF3,-1.374951906,3.75E-29
DOK4,1.888392964,4.19E-29
ST8SIA6,-6.411371521,4.35E-29
SAMSN1,7.844087541,4.36E-29
PKD1L2,-6.948896171,4.38E-29
CDS2,1.914331526,4.41E-29
FOS,-6.675131327,4.46E-29
SSTR1,6.416849281,4.59E-29
OSBPL1A,-2.07857912,5.24E-29
PLCG2,-4.335501892,5.58E-29
TSHZ3,4.381525827,5.58E-29
PCP4,5.359569804,5.98E-29
GPRIN1,4.766573801,6.11E-29
GNG11,-8.267471046,6.94E-29
LRRC7,4.948846676,6.94E-29
SPATA20,-2.753754187,7.05E-29
MUC12,-4.858686987,7.83E-29
NEUROG2,7.756930293,7.94E-29
RILPL1,-2.097176774,8.04E-29
PBLD,2.775249705,8.17E-29
ARHGAP19,-2.140421692,8.17E-29
RASGEF1A,-3.547900532,8.38E-29
FAM124B,4.45110514,8.38E-29
MYL12A,-2.150958978,8.63E-29
SH2D5,-3.314749788,8.72E-29
TTC39A,3.417909854,9.07E-29
ST7,1.914243129,9.09E-29
TICRR,-3.795999377,9.19E-29
KANK1,-2.491686112,9.51E-29
LOXL3,-2.512647161,9.64E-29
SEC22B4P,2.443109482,9.64E-29
KRT19,-7.683443406,9.96E-29
PIGZ,4.378059471,1.02E-28
FOXO1,-4.059785817,1.07E-28
