Gene,logFC,FDR
TRAF3IP2,-4.656066926,4.93E-90
FRMPD3,5.516665967,7.33E-90
SMAP2,3.419838904,8.36E-90
GLO1,-1.281907955,9.37E-90
SRP68,-1.07053036,9.40E-90
CEP19,4.176534227,1.14E-89
APOBEC3C,-8.128049391,1.17E-89
DIAPH3,-6.125978869,1.69E-89
KIDINS220,3.882308643,1.85E-89
PLEKHG4B,-2.714874965,1.96E-89
BORA,-3.839226888,3.65E-89
NCALD,4.933516497,3.87E-89
LRRC2,-6.323300507,5.94E-89
GTF2E1,-1.515566934,6.40E-89
ZNF724,-3.16840299,8.28E-89
DNAAF5,-2.943624692,8.35E-89
FBXL17,3.042977648,9.97E-89
UCP2,-5.278292341,1.08E-88
GPR85,6.979027713,1.30E-88
VSIG10,-5.504979299,1.35E-88
LRRC4C,6.786926822,1.36E-88
SLC43A3,-4.46787238,1.53E-88
PLS1,-5.227679918,1.90E-88
F11R,-4.810642832,3.45E-88
KBTBD6,1.943176247,4.02E-88
MAT2B,-2.647927379,4.24E-88
LLGL2,-6.908104384,4.28E-88
NAP1L3,1.853855609,5.76E-88
CYTH1,2.607632399,6.06E-88
CMBL,-4.616244706,6.08E-88
FAM13C,5.138308598,9.38E-88
HMGN5,-3.584052298,1.05E-87
RNF103,2.380657411,1.56E-87
MYO1C,-2.807796098,1.58E-87
MGME1,-2.574283965,2.51E-87
RREB1,-6.228505087,2.74E-87
IRX5,7.266029429,3.69E-87
NCAM2,7.25334449,4.03E-87
TBC1D1,-2.133164565,4.63E-87
ZFP36L2,-6.105460315,5.27E-87
CNN2,-5.426192604,5.28E-87
XRCC2,-4.236002635,5.52E-87
STEAP3,-5.298046095,8.50E-87
NHLH1,5.501644307,9.59E-87
RBMX,-1.298032225,9.73E-87
KRI1,-2.049917473,1.13E-86
DUSP26,5.477588522,1.16E-86
ZMYND8,-2.146946718,1.37E-86
NUP107,-2.556571604,1.40E-86
PLEKHA4,-5.113641351,1.61E-86
CENPF,-6.271085942,1.82E-86
DSG2,-4.292610103,2.05E-86
GLRB,6.300340719,2.07E-86
FGFR1,-1.930532184,2.28E-86
LAMTOR3,2.127826622,2.51E-86
SCN3A,10.146201,2.95E-86
PNMA8C,4.318399052,4.75E-86
PEX11B,2.656758355,5.44E-86
ST8SIA4,7.461755569,8.42E-86
NUSAP1,-5.76886971,9.32E-86
C1GALT1,-2.960864893,9.65E-86
FYN,1.84833769,9.76E-86
SLC1A2,6.7180261,1.33E-85
SLITRK3,4.455389266,1.47E-85
RAB6B,5.585784732,1.95E-85
BMS1,-1.774473974,2.02E-85
NFASC,4.773229169,2.02E-85
TTC9B,8.735426352,2.21E-85
NUF2,-6.243426097,2.25E-85
FAM220CP,-7.263297872,2.29E-85
ARL3,1.395218809,3.92E-85
GNAO1,3.56890246,4.60E-85
NUP85,-1.512191238,4.85E-85
CPSF3,-2.40911612,7.82E-85
KIAA1191,0.871256658,8.57E-85
INPP1,3.718064292,8.70E-85
GDPD2,-6.749316639,9.19E-85
FMN2,5.371641018,9.55E-85
SLC17A7,4.076588777,1.24E-84
NELL2,2.70960676,1.28E-84
DNMT3B,-6.390857573,1.33E-84
KCNK3,6.948245946,1.91E-84
ABCA2,2.458402168,2.13E-84
DRD2,6.594310514,2.48E-84
LRRC27,2.85495347,3.80E-84
CYB5R2,-7.70789871,3.96E-84
KCTD13,2.382342202,6.18E-84
PNMA2,3.846795528,7.13E-84
NIBAN1,-6.182039161,8.96E-84
WDR75,-1.848498346,1.03E-83
SIX4,-4.096487112,1.11E-83
CDC20,-6.658927416,1.13E-83
ZNF250,2.526564741,1.19E-83
SV2A,3.122209098,1.31E-83
FAM78B,5.971432723,1.98E-83
LAMB1,-2.534503429,2.40E-83
GPR173,4.432803791,2.50E-83
B4GAT1,2.158207905,3.11E-83
CDCA2,-5.599350773,3.95E-83
ALCAM,2.385415799,7.16E-83
ADAMTS19,-5.99476427,9.98E-83
TMBIM1,-6.736576512,1.08E-82
STAG2,-2.028087114,1.37E-82
PGAP2,-2.678006914,1.69E-82
YAF2,4.553755806,2.12E-82
ZNF93,-3.444743415,2.14E-82
AKR1C2,6.039867644,2.81E-82
CEBPZ,-2.893384455,3.49E-82
TVP23A,2.911640276,5.53E-82
CDCA7L,-7.463281318,6.42E-82
PAPSS2,-6.785605103,7.61E-82
TMPO,-2.370730572,7.71E-82
FAM171B,2.48358798,9.28E-82
SPP1,-8.054778578,9.38E-82
ZIC5,-7.337929165,9.79E-82
SLC9A3R1,-3.452500056,9.82E-82
B3GALNT1,2.619684131,1.31E-81
FBLL1,4.997320841,1.47E-81
TMEM8B,3.18766086,1.53E-81
CKS2,-3.85624332,1.72E-81
JAK1,2.623073187,2.23E-81
SLC26A6,-2.375241565,2.32E-81
PLD3,2.050679976,2.46E-81
GRIA3,4.287916188,3.75E-81
PPFIA2,5.0076073,4.85E-81
LINC01128,4.063138552,5.85E-81
ZNF207,-1.484132261,6.81E-81
ALDH5A1,2.967979868,7.17E-81
SYNCRIP,-1.667340621,8.54E-81
ZNF641,2.551623263,1.08E-80
PRDX6,-2.425723444,1.16E-80
LSR,-6.516681391,1.30E-80
GPC3,-5.092771087,1.66E-80
PHYHIPL,7.385721172,1.77E-80
GRM3,4.559980208,1.83E-80
IGFBP2,-4.774113139,2.00E-80
KCNK5,-5.932020602,2.63E-80
ARAP3,-5.470272015,3.05E-80
FAM8A1,2.308584979,4.80E-80
TMOD1,7.612263205,5.78E-80
TNNT1,-6.789314054,6.61E-80
WDR37,2.143644251,7.15E-80
PPP1R9B,3.713522702,7.57E-80
TMEM125,-6.602110807,9.60E-80
PCDHB10,3.633962975,1.03E-79
LINC00476,3.240999,1.05E-79
MTFR2,-5.086251138,1.17E-79
PLEKHO2,-2.875871134,1.27E-79
MACC1,-8.452935476,1.61E-79
FOXM1,-5.96314271,1.77E-79
CRIM1,3.314647511,2.07E-79
CTSV,-6.818177731,2.37E-79
PIEZO1,-3.97660991,2.40E-79
VSNL1,-2.92549916,3.03E-79
MINDY3,1.876307336,3.08E-79
SLFN13,-6.362300759,3.11E-79
ZFP42,-12.18822662,3.32E-79
DCLK1,2.389836408,5.31E-79
TBC1D30,3.748275641,5.68E-79
MYO10,-4.915354659,6.19E-79
DNAJC2,-2.513261411,7.41E-79
SLC9A3-AS1,4.934590323,7.60E-79
SLC25A14,2.491600569,8.09E-79
DYNC1I1,5.245050906,8.20E-79
KLC1,2.650409326,8.72E-79
WDHD1,-3.734328036,1.60E-78
FBXO5,-2.915051568,1.79E-78
GRID1,7.129839654,1.81E-78
KIF2C,-6.178198822,1.98E-78
DSN1,-2.917812381,2.14E-78
MAPKAPK3,-2.850648448,3.17E-78
GUCY1B1,4.634590143,3.54E-78
NALCN,4.983869268,5.03E-78
CAAP1,-2.186624032,5.60E-78
GRB7,-9.604185454,6.42E-78
DGKI,7.987170964,6.59E-78
SHCBP1,-5.382634877,6.98E-78
STOML1,4.622620839,7.21E-78
KCNH2,3.818553207,7.22E-78
LYSMD4,2.069136394,8.23E-78
C1orf216,3.648395046,8.32E-78
FOXO1,-6.35258353,9.28E-78
NOL4L,1.934110193,1.17E-77
HROB,-2.956641072,1.34E-77
KCNK1,-3.9552509,1.79E-77
RAB13,-3.57252453,1.97E-77
IPO11,-2.263810132,2.15E-77
TNFAIP1,2.147684353,2.43E-77
SLC16A14,4.07570892,4.38E-77
NAV3,5.505943306,4.68E-77
RNASEH2A,-2.49520356,6.03E-77
FAM120A,-2.021971315,6.13E-77
IDS,3.694215925,6.63E-77
STX7,2.243218782,6.87E-77
CAB39L,3.023310968,8.34E-77
USP10,-1.405069808,9.19E-77
LARP1B,-1.871592115,1.42E-76
C11orf87,5.753185952,1.42E-76
SKP2,-2.979915433,1.72E-76
ARL6IP5,2.331057837,1.98E-76
ZNF788P,-4.226746184,2.13E-76
RIT1,2.103613078,3.23E-76
ASPM,-6.632111311,3.48E-76
USP1,-1.835127242,3.63E-76
BTBD10,1.677459919,3.75E-76
CASTOR3,3.739336291,3.92E-76
KLHL9,2.414996202,4.96E-76
SKOR2,8.288247194,5.70E-76
PRRT2,3.594064813,5.77E-76
EPHX3,-3.379663843,7.06E-76
NMRK2,-8.780609919,7.34E-76
APBA1,7.645894313,8.68E-76
KCNB1,6.437503407,9.14E-76
KCNG1,-6.328404483,1.00E-75
PPP1R1A,5.60917116,1.72E-75
SLC4A3,3.166558979,1.92E-75
CRTC1,3.140715109,2.00E-75
THSD7B,3.484947775,2.34E-75
AP3B1,-2.09014862,3.59E-75
SUPT16H,-1.656990381,3.96E-75
LAMC2,-5.163029294,5.12E-75
PARP14,-8.449969823,5.94E-75
PKMYT1,-5.702733371,6.73E-75
ACAA2,-2.717460882,6.87E-75
COL9A3,-6.866686375,7.02E-75
KDF1,-8.346526301,8.00E-75
SLC66A3,-3.405518492,8.97E-75
SEMA4G,2.420097984,1.07E-74
NDRG3,1.687155179,1.11E-74
FBXO9,1.638200365,1.20E-74
ARHGAP42,-6.737423891,1.34E-74
TRIM3,2.136419995,1.56E-74
PAWR,-4.640362085,1.92E-74
SCAMP5,3.518038384,2.36E-74
CDK1,-6.511920866,2.48E-74
SERP2,4.193307811,2.55E-74
GPR50,6.416009991,2.57E-74
SMPDL3B,-8.572682647,2.94E-74
MTFR1L,1.612713414,2.95E-74
SRGAP3,4.674588709,2.98E-74
GNG3,5.715464119,3.08E-74
GRID2,-6.198262683,3.11E-74
TSC22D3,3.55147183,3.49E-74
SLITRK1,5.452837294,3.49E-74
CELF5,5.360147462,3.51E-74
RNPEP,-1.619608562,3.54E-74
PDLIM1,-5.842922745,3.68E-74
PRXL2A,1.69211718,3.71E-74
CHST1,5.958665043,3.82E-74
PLS3,-3.238993208,5.00E-74
RFPL1S,5.825066641,5.14E-74
PNPLA8,2.115019623,5.99E-74
TOM1L1,-4.792358756,7.42E-74
FERMT2,-1.560244969,9.21E-74
HMGA2,-6.346011906,1.28E-73
PPL,-3.32630448,1.91E-73
TMEM178B,3.047400194,2.05E-73
SORCS1,4.748451912,2.53E-73
HS3ST2,4.271040072,3.11E-73
RECQL,-2.281040765,3.13E-73
PRMT3,-2.073720171,3.93E-73
CALY,7.277650115,4.34E-73
PCP4,5.037399643,4.43E-73
MAN2A2,2.632088224,5.30E-73
IL13RA1,-3.393328014,5.38E-73
ZNF446,2.335666031,5.67E-73
AP1S2,-2.243624426,5.97E-73
GFPT2,-3.808658292,8.79E-73
COBL,-4.076096035,1.05E-72
AEN,-3.06119448,1.16E-72
PHYHIP,-3.960085081,1.17E-72
BCL2L12,-5.687348837,1.50E-72
GFRA2,4.079997395,1.57E-72
DNM1,2.702534352,1.91E-72
NBPF8,3.843957427,2.04E-72
STX6,-1.191535727,2.05E-72
CCNB2,-6.40651209,2.15E-72
GPR27,1.840250804,2.42E-72
KLHL29,4.360305402,2.61E-72
KLHL42,1.873835352,2.94E-72
SGO2,-4.477695036,2.96E-72
NUP35,-2.368862581,2.99E-72
NUP54,-2.449441022,3.97E-72
SIAH3,6.671854259,4.26E-72
LARS1,-1.968570456,4.54E-72
DOK5,3.539294679,4.73E-72
RGL3,-5.890600663,5.06E-72
PPP1R15A,2.44372837,5.41E-72
MAP2K4,1.275992368,6.20E-72
PKN3,-6.360211017,6.77E-72
CPEB3,4.018077642,7.26E-72
MX2,-5.471389055,8.88E-72
CCDC141,-8.40713105,1.10E-71
LITAF,-4.781055702,1.18E-71
ARHGAP36,6.463973781,1.27E-71
MND1,-5.072243263,1.34E-71
NIF3L1,-1.785826038,1.47E-71
F2RL1,-5.576896831,1.85E-71
ST8SIA2,5.786264895,1.88E-71
NOA1,-1.29334704,2.03E-71
LOC102724330,2.577801637,2.57E-71
SLC43A1,-4.571847788,2.72E-71
MEIS3,3.359829317,3.09E-71
ATP8A1,3.346437166,3.47E-71
ERLIN1,-2.732444926,3.69E-71
RHPN2,-2.62200696,4.34E-71
CLIC4,-2.464375208,4.88E-71
ME3,5.226509273,4.88E-71
ERVK13-1,3.411663855,4.95E-71
ACSL6,4.656117091,5.95E-71
KIF20A,-6.484522359,7.27E-71
ANKS6,-2.386424825,7.75E-71
KCNIP2,4.215299681,1.08E-70
ETFB,1.879228432,1.22E-70
CLU,-3.591598203,1.32E-70
TSPAN33,-2.953514703,1.38E-70
LINC00672,2.98061323,1.44E-70
SMIM13,2.950849973,1.46E-70
NPC2,-3.019029222,1.51E-70
MADD,2.134590091,1.61E-70
MYO5C,-4.793585221,1.76E-70
ZIC2,-6.509888307,2.55E-70
ETV6,-2.359881882,2.55E-70
RHOB,4.830051873,3.15E-70
NOL10,-2.256932653,3.53E-70
DARS2,-2.328895945,4.43E-70
GDF11,2.751954734,8.28E-70
E2F8,-7.365927637,1.01E-69
P2RY1,-7.186192864,1.12E-69
OSBPL5,2.845857535,1.24E-69
TGS1,-1.976230846,1.35E-69
BARD1,-6.114826934,1.79E-69
OSBPL6,3.433718463,2.28E-69
NEMP1,-2.94771286,2.37E-69
KPNB1,-1.698676646,2.82E-69
PRKD3,-3.256676587,3.35E-69
PAG1,6.925480482,3.75E-69
R3HDM2,2.085016074,3.82E-69
DKK3,3.461498392,4.53E-69
FLYWCH1,1.699382775,4.75E-69
TMEM255A,4.546843584,6.35E-69
SUSD4,3.072603983,6.43E-69
NPTXR,3.156109621,7.15E-69
EPHA5,8.607511999,7.34E-69
RTKN2,-2.908862737,7.89E-69
SOX11,2.128708491,8.85E-69
RRBP1,-2.387923718,8.95E-69
TNFRSF10A,-8.578207117,1.04E-68
ARNT2,3.649347886,1.11E-68
TTF2,-4.070260216,1.16E-68
FRMD6,-2.595428598,1.42E-68
CAPG,-7.265037558,1.57E-68
JHY,5.190677809,1.58E-68
SYT3,3.474285543,1.82E-68
RGL1,3.41921793,1.85E-68
MOB3A,2.516747393,1.88E-68
ADNP2,-2.165272531,1.90E-68
KAZN,2.769797885,2.11E-68
ADGRG2,3.819280411,2.18E-68
TMEM196,8.638640381,2.22E-68
RNF150,4.206589004,3.59E-68
FAIM2,6.74433118,4.00E-68
PUM3,-3.396045355,4.31E-68
BAHCC1,7.536889211,4.87E-68
ACSL1,2.419516913,5.43E-68
ZCCHC18,4.414299362,6.17E-68
UBE2QL1,5.863765505,6.78E-68
EHD4,-3.200765828,1.03E-67
NMNAT2,3.843513091,1.19E-67
VASH1,2.920456106,1.22E-67
SFT2D1,-2.067249145,1.33E-67
NUP88,-1.642742023,1.76E-67
C13orf42,-12.23526667,1.78E-67
PIF1,-7.559048069,2.50E-67
CHN2,2.990495843,2.67E-67
ZEB2,6.023054867,2.83E-67
PLIN2,-3.724085205,3.04E-67
CLDN4,-6.604371847,3.40E-67
ENOX1,6.008443994,3.84E-67
SLC15A3,-7.540330451,3.89E-67
ZEB1,6.33367293,3.91E-67
FGFR4,-4.956306698,4.35E-67
SCN2A,5.531688661,4.38E-67
ECD,-1.361844586,4.80E-67
ZNF25,4.451527986,6.15E-67
ZDHHC12,-4.650736684,7.76E-67
ZADH2,3.694222053,8.17E-67
YY1,-0.978417053,8.65E-67
LSM11,2.958989624,9.10E-67
EFS,-3.506388289,1.01E-66
PLOD2,-4.826134119,1.12E-66
TACC3,-4.213056322,1.39E-66
SYT17,3.346702788,1.51E-66
SWAP70,-3.561638468,1.55E-66
ARID5B,5.760025771,1.59E-66
SLC25A21,-4.505219042,1.63E-66
NHLH2,3.998389419,1.80E-66
BACE1,3.16640791,2.24E-66
PNP,-3.141691505,2.34E-66
DGKD,2.055625693,2.95E-66
HSPA2,-7.492198758,2.97E-66
NRARP,-3.125941828,3.66E-66
ZMYND11,1.277551935,3.80E-66
HDAC5,2.107293778,4.20E-66
PRIM2,-2.892875959,5.38E-66
SULT4A1,3.607890255,5.47E-66
ERVH48-1,-6.154690933,5.65E-66
MID2,3.40879562,6.40E-66
KIAA1549L,4.407106167,6.90E-66
ST7,1.567760821,7.44E-66
NME4,-3.822065851,7.65E-66
CD74,-2.351046956,8.41E-66
COCH,2.28497278,8.48E-66
GDPD1,2.901034732,9.10E-66
TYMS,-4.87322516,9.25E-66
MFSD14B,-1.628489634,9.26E-66
RRAGB,3.29199363,1.04E-65
ZNF525,-3.217311431,1.08E-65
JADE1,-5.160457608,1.12E-65
TSPAN2,2.376150739,1.34E-65
TEX10,-2.006034046,1.51E-65
PREPL,2.865651984,1.62E-65
CLVS2,4.942684517,1.89E-65
SRRM4,5.13449134,2.07E-65
ASXL3,6.888551362,2.17E-65
FEZ1,2.194023308,2.28E-65
HIVEP3,4.443584362,2.31E-65
MAP1A,5.021069841,3.21E-65
ZFYVE1,2.084528335,3.24E-65
BAIAP2L1,-5.441005332,3.30E-65
MCM10,-6.267068847,3.36E-65
TIPIN,-3.629103901,3.50E-65
ERBB3,-7.735489881,3.62E-65
STC1,-5.037599264,4.08E-65
UTRN,-3.273764428,4.31E-65
BEND5,3.495037424,5.39E-65
CHST7,-3.818799631,5.45E-65
TMX1,-2.598453739,6.09E-65
RBM4B,1.765433797,6.37E-65
ZNF813,-2.611558047,7.05E-65
SCUBE3,3.572295116,9.52E-65
LIMS1,-1.623961389,1.22E-64
LAMA1,-5.027371992,1.70E-64
SMPD3,8.075415512,1.75E-64
REST,-4.512970381,2.02E-64
GNL2,-1.723005078,2.07E-64
CASP6,-2.994474888,2.11E-64
ARHGAP33,3.487432566,2.32E-64
CKAP2L,-4.876385679,2.61E-64
VPS45,1.166327552,2.96E-64
HCN2,4.453954956,2.96E-64
MBOAT1,-6.962017637,3.82E-64
AHCY,-2.47942693,3.94E-64
SPACA9,5.038920456,4.19E-64
CDC25C,-5.653258591,4.69E-64
STIM1,1.775485581,4.78E-64
DKC1,-2.149606452,4.91E-64
RPN2,-0.857605383,5.09E-64
CREB5,3.783223963,5.31E-64
RRM1,-1.678192162,5.84E-64
SOCS1,-6.71655641,6.98E-64
BIRC5,-6.108621447,7.01E-64
PSD,5.670851645,8.95E-64
RUFY3,3.18601046,9.63E-64
C15orf39,-3.728490933,9.98E-64
NOB1,-2.6285914,1.09E-63
SYN1,3.670212924,1.11E-63
ULK2,3.239856047,1.15E-63
PSME4,-1.755144395,1.29E-63
SEC24D,-2.875816186,1.50E-63
PLBD1,-5.758737174,2.03E-63
CYYR1,-4.37747026,2.62E-63
CD164,-2.084785978,3.57E-63
PLAU,-5.435813705,4.43E-63
AGTRAP,-5.980380478,5.05E-63
XPO5,-1.308541561,5.50E-63
KCNK12,3.222393925,6.34E-63
XRCC6,-1.734637384,7.26E-63
RBM18,1.690796662,8.22E-63
TXLNG,-1.719147182,9.41E-63
JAZF1,2.13385948,1.02E-62
SHKBP1,-1.435721989,1.26E-62
CENPW,-3.985811736,1.75E-62
MAP7D3,-4.301250479,1.97E-62
NQO2,-2.650555644,2.53E-62
NQO1,-5.380581397,2.60E-62
KNTC1,-3.693812789,2.60E-62
STX3,-1.62601835,2.61E-62
SYT11,4.265690296,2.97E-62
ITFG1,2.629314298,3.09E-62
FLVCR2,-6.779649419,3.11E-62
CHD1L,-2.104125969,3.33E-62
PTPRZ1,-4.822356533,3.44E-62
CASTOR2,1.567527379,3.64E-62
THOC1,-1.967524863,4.17E-62
MRPS27,-1.936352063,4.60E-62
ELAPOR1,4.525156327,4.70E-62
SYNJ1,3.788663358,6.20E-62
PTTG1,-5.461204193,6.36E-62
SLC6A17,6.18507762,7.02E-62
SNCG,5.622782339,7.70E-62
PRR11,-4.123309911,7.89E-62
JUN,3.521582579,8.79E-62
SGO1,-4.808051703,1.40E-61
PLEKHG6,-8.288678738,1.49E-61
IPO5,-1.841443147,1.59E-61
FBXO41,2.191458147,1.59E-61
CYB561D1,2.609459319,1.62E-61
RNF157,2.724765926,1.99E-61
HSD17B4,-2.080554682,2.13E-61
FAM171A1,1.016414026,2.17E-61
MAGED1,2.688778984,2.39E-61
NISCH,2.106188142,2.45E-61
ANXA7,-1.751511788,2.64E-61
RNF11,1.551672159,2.81E-61
ADGRG5,-6.680964226,2.86E-61
MYH9,-2.758439577,2.89E-61
INSYN1,4.231869322,3.09E-61
IGF2BP1,-2.719692437,3.16E-61
SMIM10L2B,3.253840089,3.37E-61
DRGX,12.01209746,3.79E-61
VPS16,1.62486274,4.07E-61
NUCKS1,-1.638699819,4.41E-61
FZD7,-3.271559208,4.45E-61
RPS6,-2.970600131,4.72E-61
PPP1CC,-1.980070929,4.92E-61
NBPF9,2.91693823,5.05E-61
GSDME,3.429776783,5.19E-61
TMUB2,1.594195152,7.49E-61
C2orf80,5.243791436,7.78E-61
TRIM6,-7.657420553,8.28E-61
LARP7,-2.611101805,1.02E-60
DERA,-2.732203289,1.06E-60
MRPL19,-2.05202769,1.07E-60
AMIGO1,3.01458887,1.23E-60
KALRN,4.930000394,1.49E-60
CDCP1,-10.07504876,2.37E-60
PCCB,-1.780254375,2.48E-60
FHL3,-2.631115665,2.73E-60
POLE2,-5.170736774,2.84E-60
HRH2,-6.186031593,2.85E-60
CDKN3,-3.474577393,2.92E-60
PDPN,-7.127710483,3.26E-60
KCNK6,-6.420123995,3.26E-60
ZNF785,2.328025461,3.50E-60
C17orf100,2.932362616,3.72E-60
FAM13A,-4.447776761,3.81E-60
DNAJC10,-1.253448263,4.05E-60
ACAP3,4.209446251,4.13E-60
C2orf72,4.349140402,4.13E-60
RRM2B,-2.984261499,4.18E-60
PXYLP1,2.058468686,4.43E-60
USP36,-1.48808694,5.14E-60
ARL6IP1,0.953364196,5.70E-60
NECAB2,2.521099993,6.31E-60
NOC3L,-3.117700661,7.22E-60
B3GALT5-AS1,-7.431778881,7.61E-60
NT5DC1,-2.173215207,9.20E-60
ZFP36,-4.648416892,1.19E-59
BRCA1,-5.245938635,1.31E-59
KPNA2,-2.336727916,1.34E-59
AP3B2,3.264410622,1.83E-59
NBEAL2,-2.700302758,1.90E-59
PPP3CB,1.728730755,2.06E-59
VRK2,-2.453228314,2.29E-59
SIX3,9.551993008,2.29E-59
PRUNE2,-1.802181672,2.79E-59
SLC2A1,-3.700222642,3.98E-59
EIF3A,-2.305320058,4.80E-59
EME1,-3.798918395,5.56E-59
TMEM175,3.034021912,5.57E-59
KANK2,-4.348257253,5.77E-59
CHAC2,-3.416117767,6.92E-59
ADA,-4.13484208,8.23E-59
RASSF5,3.864686454,8.33E-59
MRPL10,-1.548065625,8.62E-59
ZNF202,-1.115860896,9.16E-59
RPL22L1,-5.793304464,1.09E-58
TBC1D25,2.331929874,1.09E-58
PHKA2,-1.881465713,1.47E-58
BAIAP2,1.55298572,1.47E-58
HPS1,-2.604419485,1.91E-58
KXD1,-1.743927507,2.22E-58
MEAK7,1.378917825,2.44E-58
TRAK2,2.129577467,2.79E-58
SPINT1,-4.553909194,3.10E-58
ADAM12,5.738320887,3.51E-58
SETD7,2.858696079,3.63E-58
AK9,2.794475117,3.69E-58
BRCA2,-5.645867158,4.00E-58
LAMC3,-9.729849776,4.79E-58
PRLR,-4.78508859,6.08E-58
ARL6IP6,-2.114263774,6.52E-58
CLASP2,2.773685371,7.07E-58
FAM83G,-5.724331451,8.12E-58
GRIK3,6.311070397,8.67E-58
ATP6V0E2-AS1,4.063025237,8.68E-58
IQSEC3,2.912344024,9.43E-58
ZNF343,2.223709207,9.93E-58
DNAJC27,2.292010631,1.08E-57
ZDHHC11B,4.205278698,1.14E-57
CREB3L4,-2.258096877,1.22E-57
SLC9B2,2.560934353,1.25E-57
LOC441204,4.821699765,1.27E-57
ID4,4.12245165,1.35E-57
RNF213,-3.451337559,1.36E-57
CACHD1,-1.828988317,1.44E-57
PTPN2,-1.775040024,1.58E-57
LRRC20,1.200283268,1.58E-57
CAMK2A,7.386933335,1.63E-57
KLHDC7A,-8.887785857,1.77E-57
LIG1,-2.62413028,1.91E-57
SRSF10,-1.610011081,2.10E-57
POLQ,-6.381404604,2.13E-57
CEP41,1.622336448,2.33E-57
TPP2,-1.804314408,2.64E-57
IRF6,-4.611430291,2.68E-57
NNT,2.366984763,2.87E-57
NKAPD1,1.230534078,3.10E-57
HAP1,2.999112798,4.12E-57
USP20,2.772465545,4.42E-57
HCFC2,3.377235706,4.75E-57
KIF4A,-6.026864818,4.81E-57
CCDC77,-2.078996614,4.88E-57
PRR14,2.122293424,5.17E-57
TPPP3,8.294605622,5.97E-57
PAK5,4.743930925,6.23E-57
PPM1E,2.857527551,6.43E-57
SERP1,-1.631820741,6.44E-57
TMEM151A,4.278693342,6.51E-57
KCTD9,-1.504099433,7.32E-57
RBBP8,-3.702944223,7.58E-57
C5orf34,-4.310751792,8.32E-57
GPATCH11,2.061064934,8.59E-57
NTS,-4.492363475,9.31E-57
GLRA3,9.557783572,9.70E-57
WWC2,-4.25518159,1.02E-56
ADAP1,3.377580203,1.22E-56
HADH,-1.723790398,1.24E-56
NAP1L1,-2.337567321,1.28E-56
TEAD4,-8.008919031,1.51E-56
EFTUD2,-1.263964767,1.66E-56
CEP152,-6.237171508,1.76E-56
PXK,2.164385387,1.78E-56
ZNF862,2.98886784,1.78E-56
GSTA4,2.968464328,1.79E-56
GPR155,4.43662872,1.79E-56
GINS4,-4.506879088,1.89E-56
LOC646762,2.539275427,2.13E-56
SCRN1,2.837303248,2.22E-56
RASGEF1B,4.341744438,2.25E-56
RBFOX1,4.309668425,2.31E-56
RNF208,2.590761012,2.39E-56
SCAMP2,-1.692223173,2.51E-56
NKX1-2,-4.254686877,2.57E-56
SLC38A4,-6.919105969,2.61E-56
MACROD2,5.232487812,3.31E-56
CDH11,1.965094923,3.44E-56
LINC00678,-14.43458982,3.55E-56
SYBU,6.131718346,3.75E-56
ELOVL4,2.223392998,3.79E-56
UTP15,-1.925775143,3.89E-56
GSTM2,2.96921269,4.43E-56
MOCOS,-8.465006729,5.32E-56
ERBB2,-4.622605984,5.44E-56
TAOK3,2.325646692,5.67E-56
SMC2,-1.83787665,5.91E-56
DNAH11,-7.34681168,6.23E-56
GLI2,-5.695408711,6.23E-56
ZHX3,3.161397196,7.44E-56
ZNF267,-2.037546008,7.53E-56
XPR1,3.769581892,8.46E-56
GBA2,1.208088519,1.14E-55
ELL2,-3.584511362,1.17E-55
CRACD,2.592915573,1.24E-55
HPCAL4,5.523322516,1.34E-55
JAKMIP2-AS1,-8.722183138,1.53E-55
MAL2,-2.914044554,1.60E-55
ISL1-DT,11.53585659,1.67E-55
CACNG2,8.944256185,1.92E-55
RHOH,-7.295119708,1.98E-55
HNRNPD,-2.322677926,2.14E-55
MAP3K21,-4.018330643,2.33E-55
MAP3K4,-1.32703226,2.44E-55
NSUN7,-4.646382867,2.48E-55
FAM241B,2.877125521,2.60E-55
LPAR3,-9.255751635,2.67E-55
KIAA0232,1.953427831,2.83E-55
CARNMT1,-2.82271973,3.07E-55
LRRC4B,4.708654572,3.07E-55
GABPB1,-1.339807029,3.11E-55
NRXN2,5.750422981,3.48E-55
TMC6,-6.60142844,3.75E-55
KCNG3,-4.798961895,3.84E-55
FAM222A,4.548463991,4.42E-55
NEK8,-2.813506358,4.46E-55
PLIN3,-3.356977236,4.64E-55
SCARB1,-1.804331561,4.94E-55
PRSS8,-9.19942599,5.88E-55
NCL,-1.889843455,6.31E-55
CTDSPL,-1.857606021,6.38E-55
TBC1D19,3.386710076,6.42E-55
EPB41L2,-3.558994246,6.50E-55
LRP12,2.088894184,7.63E-55
PTPN14,-6.21190197,8.45E-55
ACOXL,-3.678846543,9.81E-55
ZNF606,1.77401664,1.04E-54
ITGA6,-3.928163981,1.08E-54
ABCE1,-2.017020273,1.08E-54
CERS2,-1.339363285,1.16E-54
FGF2,-2.517660125,1.19E-54
TRIM67,10.0127422,1.19E-54
MOB1A,-2.206900431,1.20E-54
BCL11A,-2.646794427,1.38E-54
FOXH1,-12.3195489,1.41E-54
GSTM3,3.922251964,1.54E-54
NRP2,-2.405422834,1.67E-54
